timestamp,price,market_cap,volume,hour_key
2025-03-03 11:04:53.548000,91840.96195107298,1.8235681285008062E12,7.593893256636786E10,2025030311
2025-03-03 12:04:57.225000,92520.05256903946,1.8321404330335176E12,7.71440198587058E10,2025030312
2025-03-03 13:02:23.152000,92704.99332627936,1.8357110392057415E12,7.815579504634752E10,2025030313
2025-03-03 14:09:42.742000,93184.11440212942,1.8438627358895913E12,8.022477099149811E10,2025030314
2025-03-03 15:00:29.738000,93288.33219257377,1.85128409328937E12,8.100969056592838E10,2025030315
2025-03-03 16:09:47.133000,89948.47284407713,1.7858074487432004E12,7.66211525975572E10,2025030316
2025-03-03 17:03:35.519000,90078.29699874723,1.797367485901247E12,8.176682335017839E10,2025030317
2025-03-03 18:00:50.731000,90100.55793547307,1.7869515830863757E12,7.228991542727774E10,2025030318
2025-03-03 19:00:27.806000,90362.03357256715,1.7925849762244019E12,6.0481360329609764E10,2025030319
2025-03-03 20:09:53.449000,87491.4206062274,1.7358307859308975E12,6.234311302566655E10,2025030320
2025-03-03 21:04:59.600000,85545.7625233458,1.7007965680784517E12,5.688656604644117E10,2025030321
2025-03-03 22:09:57.763000,86058.30490682101,1.7088502366623936E12,6.6370654823354485E10,2025030322
2025-03-03 23:04:20.857000,85204.63043242115,1.6979544670539895E12,7.387405937256435E10,2025030323
2025-03-04 00:09:52.654000,86170.71147754729,1.7099774283478018E12,6.894855492563377E10,2025030400
2025-03-04 01:07:26.499000,86009.33348231346,1.7040252193824402E12,7.188999341367072E10,2025030401
2025-03-04 02:05:15.772000,86121.81430043305,1.704537628005519E12,7.192024861734053E10,2025030402
2025-03-04 03:09:42.514000,83547.88761068918,1.6565147146756091E12,7.185304876747128E10,2025030403
2025-03-04 04:04:40.863000,83972.72380658488,1.6675079123269888E12,7.749401887042064E10,2025030404
2025-03-04 05:04:42.805000,83894.60765773285,1.6699561074088643E12,7.740626993370871E10,2025030405
2025-03-04 06:02:36.907000,83415.32852921398,1.6541126647506184E12,7.792018986071147E10,2025030406
2025-03-04 07:09:47.788000,84208.53292141939,1.670983928980298E12,7.787338861403662E10,2025030407
2025-03-04 08:02:51.018000,83856.74936488515,1.658801476655347E12,7.687432925454816E10,2025030408
2025-03-04 09:04:42.529000,83176.65536982972,1.6476395286267808E12,7.572734561837674E10,2025030409
2025-03-04 10:04:38.281000,83842.65217935151,1.6647300028820776E12,7.662813768889372E10,2025030410
2025-03-04 11:04:50.960000,83797.859996219,1.661959336680046E12,6.888056977990886E10,2025030411
2025-03-04 12:09:25.426000,83870.76608750969,1.6627922278776665E12,7.185515065497823E10,2025030412
2025-03-04 13:09:27.712000,83840.8128569342,1.6635552403212646E12,7.174735385559306E10,2025030413
2025-03-04 14:04:46.725000,83704.19016400714,1.6608865362500718E12,7.13363820057557E10,2025030414
2025-03-04 15:00:49.130000,82681.05172860001,1.6447380402320017E12,6.588443070275422E10,2025030415
2025-03-04 16:04:53.276000,83066.2270465692,1.6641735852339275E12,6.921439560788177E10,2025030416
2025-03-04 17:03:54.010000,82922.8590885219,1.6431138213249531E12,6.751001747910123E10,2025030417
2025-03-04 18:05:34.581000,83663.71104143023,1.6593207336185E12,5.985040879460879E10,2025030418
2025-03-04 19:09:22.346000,85454.70850609809,1.6940527859802393E12,7.020518483279301E10,2025030419
2025-03-04 20:02:35.062000,86734.75594854711,1.7219460982156245E12,6.48414590895342E10,2025030420
2025-03-04 21:09:31.356000,87903.09912509412,1.7447060306463884E12,6.869381156609502E10,2025030421
2025-03-04 22:09:09.072000,86892.91764570212,1.7221099084485112E12,6.091719797921443E10,2025030422
